dataset,mode,seed,threshold,edge_count,edge_count_true,f1_directed,precision,recall,shd,violations,constraint_cells_changed,selected
synthetic_n2000,constrained,42,0.02,730,65,0.1383647798742138,0.0753424657534246,0.8461538461538461,685,0,0,
synthetic_n2000,constrained,42,0.03,611,65,0.1390532544378698,0.0769230769230769,0.7230769230769231,582,0,0,
synthetic_n2000,constrained,42,0.05,399,65,0.1551724137931034,0.0902255639097744,0.5538461538461539,392,0,0,
synthetic_n2000,constrained,42,0.075,264,65,0.1762917933130699,0.1098484848484848,0.4461538461538462,271,0,0,
synthetic_n2000,constrained,42,0.1,212,65,0.187725631768953,0.1226415094339622,0.4,225,0,0,
synthetic_n2000,constrained,42,0.15,138,65,0.1970443349753694,0.144927536231884,0.3076923076923077,163,0,0,
synthetic_n2000,constrained,42,0.2,101,65,0.2048192771084337,0.1683168316831683,0.2615384615384615,132,0,0,
synthetic_n2000,constrained,42,0.25,74,65,0.2158273381294964,0.2027027027027027,0.2307692307692307,109,0,0,yes
synthetic_n2000,constrained,42,0.26,68,65,0.225563909774436,0.2205882352941176,0.2307692307692307,103,0,0,
synthetic_n2000,constrained,42,0.27,66,65,0.1984732824427481,0.1969696969696969,0.2,105,0,0,
synthetic_n2000,constrained,42,0.275,65,65,0.2,0.2,0.2,104,0,0,
synthetic_n2000,constrained,42,0.28,64,65,0.2015503875968992,0.203125,0.2,103,0,0,
synthetic_n2000,constrained,42,0.285,62,65,0.2047244094488189,0.2096774193548387,0.2,101,0,0,
synthetic_n2000,constrained,42,0.3,61,65,0.2063492063492063,0.2131147540983606,0.2,100,0,0,
synthetic_n2000,constrained,42,0.302,61,65,0.2063492063492063,0.2131147540983606,0.2,100,0,0,
synthetic_n2000,constrained,42,0.304,61,65,0.2063492063492063,0.2131147540983606,0.2,100,0,0,
synthetic_n2000,constrained,42,0.306,60,65,0.208,0.2166666666666666,0.2,99,0,0,
synthetic_n2000,constrained,42,0.308,60,65,0.208,0.2166666666666666,0.2,99,0,0,
synthetic_n2000,constrained,42,0.31,59,65,0.2096774193548387,0.2203389830508474,0.2,98,0,0,
synthetic_n2000,constrained,42,0.312,58,65,0.1951219512195122,0.2068965517241379,0.1846153846153846,99,0,0,
synthetic_n2000,constrained,42,0.315,57,65,0.180327868852459,0.1929824561403508,0.1692307692307692,100,0,0,
synthetic_n2000,constrained,42,0.32,57,65,0.180327868852459,0.1929824561403508,0.1692307692307692,100,0,0,
synthetic_n2000,constrained,42,0.325,57,65,0.180327868852459,0.1929824561403508,0.1692307692307692,100,0,0,
synthetic_n2000,constrained,42,0.33,54,65,0.1848739495798319,0.2037037037037037,0.1692307692307692,97,0,0,
synthetic_n2000,constrained,42,0.335,53,65,0.1864406779661017,0.2075471698113207,0.1692307692307692,96,0,0,
synthetic_n2000,constrained,42,0.34,53,65,0.1864406779661017,0.2075471698113207,0.1692307692307692,96,0,0,
synthetic_n2000,constrained,42,0.35,52,65,0.188034188034188,0.2115384615384615,0.1692307692307692,95,0,0,
synthetic_n2000,constrained,42,0.4,43,65,0.1851851851851851,0.2325581395348837,0.1538461538461538,88,0,0,
synthetic_n2000,constrained,42,0.5,31,65,0.1875,0.2903225806451613,0.1384615384615384,78,0,0,
synthetic_n2000,constrained,43,0.001,948,65,0.1184600197433366,0.0632911392405063,0.9230769230769232,893,0,0,
synthetic_n2000,constrained,43,0.005,862,65,0.1143473570658036,0.0614849187935034,0.8153846153846154,821,0,0,
